Normalized_Ingredient,count
Gin,289
Lemon Juice,215
Brandy,194
Vermouth,194
Rum,188
Whiskey/Bourbon,170
Vodka,169
Syrup,168
Bitters,162
Lime Juice,130
Sugar,120
Egg,120
Triple Sec,107
Liqueur,98
Tequila,98
Dairy,92
Grenadine,85
Orange Juice,75
Lemon,69
Juice Of A Lemon,60
Soda,58
Orange,54
Pineapple Juice,47
Lime,43
Grapefruit Juice,41
Juice Of A Lime,35
Benedictine,28
White Creme De Cacao,26
Dubonnet,25
Maraschino,23
Anisette,22
Water,22
Cranberry Juice,20
Amaretto,19
Absinthe,19
Champagne,18
Port,17
Wine,15
Yellow Chartreuse,15
Mint,14
Applejack,14
Anis,13
White Creme De Menthe,13
Green Chartreuse,12
Pineapple,12
Juice Of Orange,12
Campari,11
Blue Curacao,10
Agave Nectar,10
Green Creme De Menthe,10
Old Mr. Boston Triple Sec,10
Dry Sherry,9
Cognac,9
Maraschino Cherry,9
Scotch,8
Lillet Blanc,8
Grapefruit Twist,8
Mezcal,8
Creme De Banana,7
Aperol,7
Creme De Cassis,7
Amaretto Di Saronno,7
Amaro,6
Grape Juice,6
Grand Marnier,6
Limoncello,6
Old Mr. Boston Green Creme De Menthe,6
Madeira,6
Beer,6
Sake,5
Hot Red Pepper Sauce,5
Tea,5
Old Mr. Boston Anisette,5
Worcestershire Sauce,5
Tomato Juice,5
Cucumber,5
Coffee,5
Apple Juice,5
Dubonnet Rouge,5
Kummel,5
Fruit Juice,5
Tawny Port,4
Swedish Punch,4
Dark Creme De Cacao,4
Cynar,4
Freshly Grated Nutmeg,4
Old Mr. Boston White Creme De Cacao,4
Galliano,3
Strega,3
Fresh Basil Leaves,3
Forbidden Fruit,3
Cachaca,3
Fernet-Branca,3
Calvados,3
Cherry Heering,3
Rock And Rye,3
Aged Rhum Agricole,3
Vinegar,3
Creme De Cacao (White),3
Pepper,3
Creme Yvette,3
Curacao,3
Hard Cider,2
Honey,2
Manzanilla Sherry,2
"Grapefruit Twist, Flamed",2
Apple Slice,2
Sambuca,2
Punt E Mes,2
Kirschwasser,2
Ramazzotti Amaro,2
Green Olive,2
Ground Cinnamon,2
Lillet Rouge,2
Peach,2
Tomato Catsup,2
Clam Juice,2
Cold Beef Bouillon,2
Creme De Cacao (Brown),2
Creme De Menthe (White),2
Creme De Noyaux,2
Aquavit,2
Old Mr. Boston Kummel,2
Creme De Violette,2
Cucumber Slices,2
Pepper And Salt,2
Whole Strawberry,2
Mr. Boston Triple Sec,2
Fresh Apple Cider,2
Palo Cortado Or Oloroso Sherry,2
Fresh Rosemary Sprig,2
Fresh Sage Leaves,2
Pomegranate Juice,2
Cayenne Pepper,2
Old Mr. Boston White Creme De Menthe,2
"Peach Slice, Skinned",1
Peach Slice,1
Powdered Nutmeg,1
Pedro Ximenez Sherry,1
Prepared Horseradish,1
Pomegranate Molasses,1
Pimm'S No. 1 Cup,1
Raspberry Juice,1
Pisco,1
Pomegranate Molasses (Available At Middle Eastern Grocers),1
Celery Juice,1
Sparkling Apple Cider,1
Raspberry Yogurt,1
"Sweet Sherry, Preferably Pedro Ximenez",1
"Agave Nectar, Strawberry Slice",1
"Whole Strawberry, Hulled",1
Whole Cloves,1
White Or Dark Creme De Cacao,1
White Grapes,1
White Curacao Or Triple Sec,1
White Curacao,1
Almond Extract,1
Amaro Nonino,1
Unsprayed Rose Petal,1
Amer Picon Or Torani Amer,1
Thyme Sprig,1
Thin Pear Slice,1
Amontillado Sherry,1
Sweet Sherry,1
Red Grapes,1
Sweet Pickle Slice,1
Sweet Pickle Brine,1
"Strawberry, Chopped",1
Strawberry,1
"Strawberries, Cut Into Halves",1
Stick Of Cotton Candy,1
Splash Triple Sec,1
Sour Mix,1
Apple Cider,1
Shaved Ice,1
Salt,1
Ruby Port,1
Rosemary Sprig,1
Ripe Pear,1
Peach Puree,1
Banana,1
Pastis,1
Fresh Seasonal Fruit,1
Crushed Ice,1
"Cucumber Slices, Chopped",1
Carrot Juice,1
Dill Pickle Brine,1
Drambuie,1
Each Lillet Blanc And Lillet Rouge,1
"Each Worcestershire Sauce, Salt, Ground Black Pepper",1
"Edible Flower, Such As Nasturtium",1
Edible Flowers,1
Fresh Blackberries And Raspberries,1
Fresh Cherry Tomatoes,1
Fresh Cilantro Leaves,1
Fresh Cilantro Sprigs,1
Fresh Grenadine,1
"Fresh Raspberries And Strawberries, 2 Peach Slices, Maraschino Cherry",1
Creme Fraiche,1
Creme De Peche,1
Creme De Menthe,1
Cloves,1
Celery Stick,1
Cherry Juice,1
Cider,1
Cinnamon Stick,1
Cinnamon Sticks,1
Claret,1
Coarse Salt,1
Creme De Cacao,1
Cocktail Juice,1
Cointreau Or Triple Sec,1
Cointreau Triple Sec,1
Collins Mix,1
Catsup,1
Crema Di Limoncello,1
Fresh Raspberry,1
"Fresh Strawberries, Cut In Half",1
Apricot Nectar,1
"Fresh Strawberries, Cut In Halves",1
B & B,1
Long Thyme Sprigs,1
Mango Juice,1
Mango Nectar,1
Mango Slice,1
Armagnac,1
Margarita Mix,1
Mountain Dew,1
Mr. Boston Creme De Menthe,1
Mr. Boston Creme De Noyaux,1
Old Mr. Boston Creme De Cacao,1
Old Mr. Boston Creme De Menthe (White),1
Old Mr. Boston Rock And Rye,1
Olive Brine,1
Oloroso Sherry,1
Balsamic Vinegar,1
Celery Salt,1
Becherovka (Czech Digestif),1
"Grenadine, Maraschino Cherry",1
"Freshly Grated Nutmeg, Ground Cinnamon",1
Freshly Ground Black Pepper,1
Golden Delicious Apple Wedge,1
Blueberries,1
Grapefruit Marmalade,1
Grapefruit Twist Or Skewered Raspberry,1
Hot Apple Cider,1
Ketchup,1
Italian Preserved Cherry,1
"Jalapeno Hot Pepper Sauce, Cucumber Slice",1
Juice Of A Blood Orange,1
Black Licorice Stick,1
Bing Cherries,1
Juice Of Lemon Or Lime,1
Guava Puree,1
