Ingredient,count
Gin,244
Lemon Juice,215
Brandy,194
Rum,188
Vodka,169
Triple Sec,155
Whiskey,140
Lime Juice,129
Bitters,127
Sugar,121
Simple Syrup,120
Vermouth (Dry),107
Tequila,98
Grenadine,88
Vermouth (Sweet),85
Liqueur,78
Orange Juice,75
Egg White,67
Of A Lemon Juice,60
Club Soda,55
Pineapple Juice,47
Cream,47
Grapefruit Juice,41
Bitters (Orange),38
Of A Lime Juice,35
Lemon Twist,32
Whole Egg,31
Sherry,28
Benedictine,28
Chartreuse,27
White Creme De Cacao,26
Amaretto,26
Port,25
Dubonnet,25
Maraschino,23
Anisette,22
Water,22
Ginger Ale,20
Milk,19
Absinthe,19
Cranberry Juice,18
Half-And-Half,17
Schnapps,17
Egg Yolk,17
Salt,16
Irish Whiskey,15
Applejack,14
Chilled Champagne,14
Orange Twist,14
Lime Wedge,14
Lime Wheel,13
Anis,13
White Creme De Menthe,13
Of Orange Juice,12
Bourbon,12
Campari,11
Agave Syrup,11
Honey,10
Orgeat,10
Green Creme De Menthe,10
Cognac,9
Amaro,9
Maraschino Cherry,9
Grapefruit Twist,8
Ginger Beer,8
Mezcal,8
Lillet Blanc,8
Coffee Liqueur,8
Creme De Banana,7
Aperol,7
Creme De Cassis,7
Fresh Mint Leaves,6
Scotch,6
"Orange Wheel, Maraschino Cherry",6
Madeira,6
Limoncello,6
Old Mr. Boston Green Creme De Menthe,6
Maple Syrup,6
Worcestershire Sauce,5
Sake,5
Tomato Juice,5
Demerara Syrup,5
Dubonnet Rouge,5
Kummel,5
Old Mr. Boston Anisette,5
Apple Juice,5
Hot Red Pepper Sauce,5
Cucumber,5
Rye,4
Dark Creme De Cacao,4
Cynar,4
Raspberry Syrup,4
Old Mr. Boston White Creme De Cacao,4
Cola,4
Freshly Grated Nutmeg,4
"Pineapple Wedge, Maraschino Cherry",4
Swedish Punch,4
Passion Fruit Syrup,4
Fresh Basil Leaves,3
Forbidden Fruit,3
Fernet,3
Lemon Wheel,3
Fresh Mint Sprig,3
"Orange Twist, Flamed",3
Orange Wheel,3
Passion Fruit Juice,3
Pepper,3
Red Wine,3
Strega,3
Tonic Water,3
Cachaça,3
Calvados,3
Creme De Cacao (White),3
Vanilla Liqueur,3
Creme Yvette,3
Vinegar,3
Aged Rhum Agricole,3
Rye Whiskey,3
Cherry Heering,3
Unsweetened Grape Juice,2
Hard Cider,2
Champagne,2
"Orange Half-Wheel, Maraschino Cherry",2
Orange Peel,2
Vermouth,2
"Grapefruit Twist, Flamed",2
Old Mr. Boston White Creme De Menthe,2
Green Olive,2
Cold Beef Bouillon,2
Ground Cinnamon,2
Lime Wedges,2
Orange,2
Hot Black Coffee,2
Peach,2
Orange Half-Wheel,2
Cayenne Pepper,2
Ice,2
Grape Juice,2
Chilled Stout,2
Lillet Rouge,2
Kirschwasser,2
Lemonade,2
Lemon,2
Orange And/Or Lemon Zest Spiral,2
Tomato Catsup,2
Cold Brewed Coffee,2
Lemon Twist (Optional),2
Old Mr. Boston Kummel,2
Fresh Sage Leaves,2
Egg,2
Molasses,2
Falernum,2
Cucumber Slices,2
Sambuca,2
Fresh Apple Cider,2
Creme De Violette,2
Whole Strawberry,2
Punt E Mes,2
Creme De Noyaux,2
Apple Slice,2
Fresh Rosemary Sprig,2
Creme De Menthe (White),2
Pineapple Wedge,2
Pomegranate Juice,2
Concord Grape Juice,2
Aquavit,2
Creme De Cacao (Brown),2
Pineapple,2
Orange And/Or Lemon Zest,1
Of A Blood Orange Juice,1
Old Mr. Boston Creme De Menthe (White),1
White Or Dark Creme De Cacao,1
Olive Brine,1
"Vanilla Syrup, Preferably B.A. Reynold'S",1
Orange Blossoms (Optional): Orange Wedge,1
Wide Spiral Of Lemon Zest,1
Orange And Lemon Wheels,1
Of Lemon Or Lime Juice,1
Old Mr. Boston Creme De Cacao,1
V8 Cocktail Juice,1
"Whole Strawberry, Hulled",1
Whole Cloves,1
Orange And Lime Wheels,1
White Grapes,1
