Ingredient,Normalized_Ingredient
Absinthe,Absinthe
Absinthe Substitute,Absinthe
Absinthe or pastis,Absinthe
Agave nectar,Agave Nectar
"Agave nectar, strawberry slice","Agave Nectar, Strawberry Slice"
Aged rhum agricole,Aged Rhum Agricole
Almond extract,Almond Extract
Amaretto,Amaretto
Amaretto di Saronno,Amaretto Di Saronno
Amaro,Amaro
Amaro Nonino,Amaro Nonino
Amer Picon or Torani Amer,Amer Picon Or Torani Amer
Amontillado sherry,Amontillado Sherry
Anis,Anis
Anisette,Anisette
Aperol,Aperol
Apple cider,Apple Cider
Apple juice,Apple Juice
Apple slice,Apple Slice
Applejack,Applejack
Apricot nectar,Apricot Nectar
Aquavit,Aquavit
Armagnac,Armagnac
B & B,B & B
Balsamic vinegar,Balsamic Vinegar
Banana,Banana
Becherovka (Czech digestif),Becherovka (Czech Digestif)
Chilled Stout,Beer
Falernum,Beer
Chilled beer or ale,Beer
Root Beer,Beer
Benedictine,Benedictine
Bing cherries,Bing Cherries
Peychaud's Bitters,Bitters
Rhubarb bitters,Bitters
Aromatic bitters,Bitters
Bitters,Bitters
Tiki (such as Bittermen's 'Elemakule) or Angostura bitters (optional) Garnish: Fresh mint sprig,Bitters
The Bitter Truth's Jerry Thomas' Own Decanter Bitters,Bitters
Orange Bitters,Bitters
bitters,Bitters
Angostura bitters,Bitters
"Angostura Bitters, lime wheel",Bitters
Grapefruit bitters,Bitters
"Angostura Bitters, flamed lemon twist",Bitters
Angostura Bitters,Bitters
Peychaud Bitters,Bitters
Orange Bitters (if desired),Bitters
Peach bitters,Bitters
Mole bitters 1 oz,Bitters
"tiki bitters, such as Bittermen's Elemakule",Bitters
Black licorice stick,Black Licorice Stick
Blue curacao,Blue Curacao
Blueberries,Blueberries
Brandy,Brandy
"Brandy, preferably Spanish",Brandy
cherry-flavored brandy,Brandy
"Calvados, apple brandy, or applejack",Brandy
"Cherry-flavored brandy, superfine sugar",Brandy
Peach-flavored brandy,Brandy
Pear brandy,Brandy
Coffee-flavored brandy,Brandy
Old Mr. Boston Wild Cherry Flavored Brandy,Brandy
Blackberry-flavored brandy,Brandy
Apricot-Flavored Brandy,Brandy
Apricot Flavored Brandy,Brandy
Old Mr. Boston Five Star Brandy,Brandy
Mr. Boston Apricot Flavored Brandy,Brandy
Mr. Boston Five Star Brandy,Brandy
Apple Flavored Brandy,Brandy
Old Mr. Boston Apricot Flavored Brandy,Brandy
Apple Brandy,Brandy
Cachaca,Cachaca
Calvados,Calvados
Campari,Campari
Fresh carrot juice,Carrot Juice
Catsup,Catsup
Cayenne Pepper,Cayenne Pepper
Fresh celery juice,Celery Juice
Celery Salt,Celery Salt
Celery stick,Celery Stick
Chilled Champagne,Champagne
champagne,Champagne
"Chilled Champagne,  Orange half-wheel, lime wheel",Champagne
"Champagne, chopped fresh mint",Champagne
Champagne,Champagne
Cherry Heering,Cherry Heering
Black cherry juice,Cherry Juice
Cider,Cider
Cinnamon stick,Cinnamon Stick
Cinnamon sticks,Cinnamon Sticks
Tomato-clam juice,Clam Juice
Clam Juice,Clam Juice
Claret,Claret
cloves,Cloves
Coarse salt,Coarse Salt
V8 cocktail juice,Cocktail Juice
Hot Black Coffee,Coffee
Cold brewed coffee,Coffee
Cold brewed espresso coffee,Coffee
Cognac,Cognac
VS cognac,Cognac
Hennessy V.S Cognac,Cognac
Cointreau or triple sec,Cointreau Or Triple Sec
Cointreau triple sec,Cointreau Triple Sec
Cold beef bouillon,Cold Beef Bouillon
Collins Mix,Collins Mix
"each Cranberry Juice, orange juice, pineapple juice, lemon juice",Cranberry Juice
each Cranberry Juice and orange juice,Cranberry Juice
"Cranberry Juice, lemon wheel",Cranberry Juice
Cranberry Juice,Cranberry Juice
Crema di limoncello,Crema Di Limoncello
Creme de banana,Creme De Banana
Creme de Cacao,Creme De Cacao
Creme de Cacao (Brown),Creme De Cacao (Brown)
Creme de Cacao (White),Creme De Cacao (White)
Creme de Cassis,Creme De Cassis
Creme de Menthe,Creme De Menthe
Creme de Menthe (White),Creme De Menthe (White)
Creme de noyaux,Creme De Noyaux
Creme de peche,Creme De Peche
Creme de violette,Creme De Violette
Creme fraiche,Creme Fraiche
Creme Yvette,Creme Yvette
Crushed ice,Crushed Ice
Cucumber,Cucumber
Cucumber slices,Cucumber Slices
"Cucumber slices, chopped","Cucumber Slices, Chopped"
Curacao,Curacao
Cynar,Cynar
cream sherry,Dairy
Whipped cream and 3/4 oz,Dairy
Canned coconut milk,Dairy
Heavy cream,Dairy
Whipped cream,Dairy
Vanilla Ice Cream,Dairy
Raspberry Ice Cream,Dairy
Cream sherry,Dairy
Cream of coconut,Dairy
Whole milk,Dairy
Sweet Cream,Dairy
"Heavy Cream, Whipped",Dairy
Coconut Milk,Dairy
Light Sweet Cream,Dairy
Light cream,Dairy
"Light cream, 1/2 oz",Dairy
Milk,Dairy
half-and-half,Dairy
Warm milk,Dairy
Almond milk,Dairy
Light Cream (if desired),Dairy
Milk or half-and-half,Dairy
Dark creme de cacao,Dark Creme De Cacao
Dill pickle brine,Dill Pickle Brine
Drambuie,Drambuie
Dry Sherry,Dry Sherry
Dubonnet,Dubonnet
Dubonnet Rouge,Dubonnet Rouge
each Lillet Blanc and Lillet Rouge,Each Lillet Blanc And Lillet Rouge
"each Worcestershire Sauce, salt, ground black pepper","Each Worcestershire Sauce, Salt, Ground Black Pepper"
"Edible flower, such as nasturtium","Edible Flower, Such As Nasturtium"
Edible flowers,Edible Flowers
Egg,Egg
"Egg Yolk, 1 oz",Egg
Egg Yolk,Egg
Whole Egg,Egg
Egg White,Egg
Whole Egg and grated nutmet,Egg
Medium Eggs,Egg
Fernet-Branca,Fernet-Branca
Forbidden Fruit,Forbidden Fruit
Fresh apple cider,Fresh Apple Cider
Fresh basil leaves,Fresh Basil Leaves
Fresh blackberries and raspberries,Fresh Blackberries And Raspberries
Fresh cherry tomatoes,Fresh Cherry Tomatoes
Fresh cilantro leaves,Fresh Cilantro Leaves
Fresh cilantro sprigs,Fresh Cilantro Sprigs
Fresh grenadine,Fresh Grenadine
"Fresh raspberries and strawberries, 2 peach slices, maraschino cherry","Fresh Raspberries And Strawberries, 2 Peach Slices, Maraschino Cherry"
Fresh raspberry,Fresh Raspberry
Fresh rosemary sprig,Fresh Rosemary Sprig
Fresh sage leaves,Fresh Sage Leaves
Fresh seasonal fruit,Fresh Seasonal Fruit
"Fresh strawberries, cut in half","Fresh Strawberries, Cut In Half"
"Fresh strawberries, cut in halves","Fresh Strawberries, Cut In Halves"
Freshly grated nutmeg,Freshly Grated Nutmeg
"Freshly grated nutmeg, ground cinnamon","Freshly Grated Nutmeg, Ground Cinnamon"
Freshly ground black pepper,Freshly Ground Black Pepper
Passion Fruit Juice,Fruit Juice
"Passion Fruit Juice, basil leaf",Fruit Juice
Chilled Passion Fruit Juice,Fruit Juice
Galliano,Galliano
"Ginger beer, 1 oz",Gin
Ginger beer,Gin
"Ginger ale, strawberry slice",Gin
Old Tom gin,Gin
"Ginger ale, lime wheel",Gin
Ginger ale or soda water,Gin
Mr. Boston Gin,Gin
Ginger liqueur,Gin
Gin,Gin
Peeled and chopped fresh ginger,Gin
Jamaican ginger beer,Gin
Dry gin,Gin
ginger ale,Gin
Ginger ale,Gin
Gin & ginger ale,Gin
Ginger syrup,Gin
Fresh ginger,Gin
Old Mr. Boston Dry Gin,Gin
thin Peeled fresh ginger,Gin
Old Mr. Boston Orange Flavored Gin,Gin
Mint-Flavored Gin,Gin
Minced ginger,Gin
Gingerbread liqueur,Gin
Old Mr. Boston Sloe Gin,Gin
Soda water or ginger ale,Gin
Sloe gin,Gin
Slice peeled fresh ginger,Gin
Tanqueray gin,Gin
Orange Flavored Gin,Gin
Golden Delicious apple wedge,Golden Delicious Apple Wedge
Grand Marnier,Grand Marnier
Unsweetened Grape Juice,Grape Juice
Concord grape juice,Grape Juice
Grape Juice,Grape Juice
Grapefruit Juice,Grapefruit Juice
Fresh ruby red grapefruit juice,Grapefruit Juice
Fresh grapefruit juice,Grapefruit Juice
Fresh white or ruby red grapefruit juice,Grapefruit Juice
Pineapple or grapefruit juice,Grapefruit Juice
Grapefruit marmalade,Grapefruit Marmalade
Grapefruit twist,Grapefruit Twist
Grapefruit twist or skewered raspberry,Grapefruit Twist Or Skewered Raspberry
"Grapefruit twist, flamed","Grapefruit Twist, Flamed"
Green Chartreuse,Green Chartreuse
Green creme de menthe,Green Creme De Menthe
Green olive,Green Olive
Grenadine,Grenadine
"Grenadine, maraschino cherry","Grenadine, Maraschino Cherry"
Ground cinnamon,Ground Cinnamon
Guava puree,Guava Puree
Hard cider,Hard Cider
Honey,Honey
Lime wedge; honeydew melon wedge or maraschino cherry,Honey
Hot Apple Cider,Hot Apple Cider
hot red pepper sauce,Hot Red Pepper Sauce
Hot red pepper sauce,Hot Red Pepper Sauce
Italian preserved cherry,Italian Preserved Cherry
"Jalapeno hot pepper sauce, cucumber slice","Jalapeno Hot Pepper Sauce, Cucumber Slice"
Juice of a Blood Orange,Juice Of A Blood Orange
Juice of a Lemon,Juice Of A Lemon
Juice of a Lime,Juice Of A Lime
Juice of Lemon or Lime,Juice Of Lemon Or Lime
Juice of Orange,Juice Of Orange
ketchup,Ketchup
Kirschwasser,Kirschwasser
Kummel,Kummel
"lemon wheel, orange wheel, maraschino cherry",Lemon
"Lemon wheel, pineapple chunk",Lemon
"Peach slice, lemon wheel",Lemon
"Lemon wheel, maraschino cherry",Lemon
"Lemon wheel, coarse salt",Lemon
"Celery stalk, lemon wedge",Lemon
"Raspberries, lemon twist",Lemon
Wide spiral of lemon zest,Lemon
Lemon wheel,Lemon
Lemon wedges,Lemon
Lemon,Lemon
Lemon and lime wheels,Lemon
Lemon and/or orange zest spiral(s),Lemon
"Lemon half-wheel, maraschino cherry",Lemon
"Lemon wedge, coarse salt",Lemon
Lemon or Orange Sherbet,Lemon
Lemon or lime wedge,Lemon
Lemon quarter-wheel,Lemon
Lemon twist,Lemon
Lemon twist (optional),Lemon
"Lemon twist, maraschino cherry",Lemon
"Lemon, orange, and pineapple slices; maraschino cherry",Lemon
lemon twist,Lemon
"Lemon wedge, celery salt",Lemon
"For glass Lemon wedge, coarse salt",Lemon
Orange and/or lemon zest spiral,Lemon
Orange and/or lemon zest,Lemon
"Orange and lemon wheels, maraschino cherry",Lemon
Orange and lemon wheels,Lemon
lemon slice,Lemon
Lemon wedge,Lemon
Lemonade,Lemon
lemon,Lemon
lemon peel,Lemon
"Fresh lemon juice, lemon twiste, fresh pomegranate seeds",Lemon Juice
Lemon Juice,Lemon Juice
Fresh lemon juice and 3 oz,Lemon Juice
Fresh lemon juice,Lemon Juice
"each Fresh lemon juice, triple sec",Lemon Juice
"each Fresh lemon juice, Angostura bitters",Lemon Juice
"each Fresh lemon juice, fresh lime juice",Lemon Juice
"each Fresh lemon juice, simple syrup, 1 lime wheel",Lemon Juice
each Fresh lemon juice and cranberry juice,Lemon Juice
Lillet Blanc,Lillet Blanc
Lillet Rouge,Lillet Rouge
Orange and lime wheels,Lime
Lime twist,Lime
"Lime wheel, maraschino cherry",Lime
Lime wheel skewered with blueberry and Bing cherry,Lime
Lime wheel,Lime
Lime wedges,Lime
"Lime wedge, coarse salt",Lime
"Lime wedge, Sweet Chili Powder",Lime
Lime wedge coarse salt,Lime
Lime wedge,Lime
Lime,Lime
"Grenadine, lime wheel",Lime
"Freshly ground black pepper to taste, lime wedge, celery stalk",Lime
"Green apple slice, lime wedge",Lime
Fresh lime juice (reserve 1/2 lime shell for garnish),Lime Juice
Fresh lemon or lime juice,Lime Juice
"Fresh Lime Juice, whole strawberry",Lime Juice
"Fresh Lime Juice, lime wheel",Lime Juice
Fresh Lime Juice,Lime Juice
"Lime juice, coarse salt",Lime Juice
